1984	43	545
1984	44	576
1984	45	607
1984	46	638
1984	47	669
1984	48	700
1984	49	731
1984	50	762
1984	51	793
1984	52	824
1984	53	855
1984	54	886
1984	55	917
1984	56	948
1984	57	979
1984	58	1010
1984	59	1041
1985	26	23
1985	27	50
1985	28	81
1985	29	112
1985	30	143
1985	31	174
1985	32	205
1985	33	236
1985	34	267
1985	35	298
1985	36	329
1985	37	360
1985	38	391
1985	39	422
1985	40	453
1985	41	484
1985	42	515
1985	43	546
1985	44	577
1985	45	608
1985	46	639
1985	47	670
1985	48	701
1985	49	732
1985	50	763
1985	51	794
1985	52	825
1985	53	856
1985	54	887
1985	55	918
1985	56	949
1985	57	980
1985	58	1011
1985	59	1042
1986	26	24
1986	27	51
1986	28	82
1986	29	113
1986	30	144
1986	31	175
1986	32	206
1986	33	237
1986	34	268
1986	35	299
1986	36	330
1986	37	361
1986	38	392
1986	39	423
1986	40	454
1986	41	485
1986	42	516
1986	43	547
1986	44	578
1986	45	609
1986	46	640
1986	47	671
1986	48	702
1986	49	733
1986	50	764
1986	51	795
1986	52	826
1986	53	857
1986	54	888
1986	55	919
1986	56	950
1986	57	981
1986	58	1012
1986	59	1043
1987	26	25
1987	27	52
1987	28	83
1987	29	114
1987	30	145
1987	31	176
1987	32	207
1987	33	238
1987	34	269
1987	35	300
1987	36	331
1987	37	362
1987	38	393
1987	39	424
1987	40	455
1987	41	486
1987	42	517
1987	43	548
1987	44	579
1987	45	610
1987	46	641
1987	47	672
1987	48	703
1987	49	734
1987	50	765
1987	51	796
1987	52	827
1987	53	858
1987	54	889
1987	55	920
1987	56	951
1987	57	982
1987	58	1013
1987	59	1044
1988	26	26
1988	27	53
1988	28	84
1988	29	115
1988	30	146
1988	31	177
1988	32	208
1988	33	239
1988	34	270
1988	35	301
1988	36	332
1988	37	363
1988	38	394
1988	39	425
1988	40	456
1988	41	487
1988	42	518
1988	43	549
1988	44	580
1988	45	611
1988	46	642
1988	47	673
1988	48	704
1988	49	735
1988	50	766
1988	51	797
1988	52	828
1988	53	859
1988	54	890
1988	55	921
1988	56	952
1988	57	983
1988	58	1014
1988	59	1045
1989	27	54
1989	28	85
1989	29	116
1989	30	147
1989	31	178
1989	32	209
1989	33	240
1989	34	271
1989	35	302
1989	36	333
1989	37	364
1989	38	395
1989	39	426
1989	40	457
1989	41	488
1989	42	519
1989	43	550
1989	44	581
1989	45	612
1989	46	643
1989	47	674
1989	48	705
1989	49	736
1989	50	767
1989	51	798
1989	52	829
1989	53	860
1989	54	891
1989	55	922
1989	56	953
1989	57	984
1989	58	1015
1989	59	1046
1990	26	27
1990	27	55
1990	28	86
1990	29	117
1990	30	148
1990	31	179
1990	32	210
1990	33	241
1990	34	272
1990	35	303
1990	36	334
1990	37	365
1990	38	396
1990	39	427
1990	40	458
1990	41	489
1990	42	520
1990	43	551
1990	44	582
1990	45	613
1990	46	644
1990	47	675
1990	48	706
